tweet_id,favorite_count,retweet_count
892420643555336193,33806,7003
892177421306343426,29321,5301
891815181378084864,22042,3478
891689557279858688,36926,7224
891327558926688256,35308,7757
891087950875897856,17803,2600
890971913173991426,10361,1661
890729181411237888,56852,15753
890609185150312448,24517,3619
890240255349198849,27959,6098
890006608113172480,27031,6151
889880896479866881,24563,4165
889665388333682689,42051,8348
889638837579907072,23673,3714
889531135344209921,13352,1881
889278841981685760,22108,4443
888917238123831296,25634,3760
888804989199671297,22463,3534
888554962724278272,17312,2877
888078434458587136,19150,2892
887705289381826560,26617,4533
887517139158093824,40717,9847
887473957103951883,60184,15019
887343217045368832,29588,8813
887101392804085760,26981,4988
886983233522544640,30380,6313
886736880519319552,10500,2629
886680336477933568,19731,3734
886366144734445568,18546,2629
886267009285017600,105,4
886258384151887873,24518,5285
886054160059072513,0,93
885984800019947520,28604,5611
885528943205470208,31588,5325
885518971528720385,18001,3106
885311592912609280,0,15429
885167619883638784,19251,3669
884925521741709313,67273,15020
884876753390489601,24375,4673
884562892145688576,21317,3907
884441805382717440,23857,4790
884247878851493888,63293,16917
884162670584377345,17940,2505
883838122936631299,19168,2861
883482846933004288,40205,8269
883360690899218434,19936,3077
883117836046086144,32509,5533
882992080364220416,20980,3244
882762694511734784,24782,4094
882627270321602560,24600,5061
882268110199369728,39192,9630
882045870035918850,25722,4080
881906580714921986,21443,2854
881666595344535552,44542,8955
881633300179243008,113,8
881536004380872706,43437,13398
881268444196462592,20476,4492
880935762899988482,15050,2333
880872448815771648,18712,3199
880465832366813184,25029,5211
880221127280381952,23665,3466
880095782870896641,24332,3651
879862464715927552,19701,2927
879674319642796034,282,9
879492040517615616,20701,2628
879415818425184262,92842,37442
879376492567855104,14857,2648
879130579576475649,0,5739
879050749262655488,19804,3954
879008229531029506,16777,2241
878776093423087618,17134,3432
878604707211726852,26438,5926
878404777348136964,0,1077
878316110768087041,0,5525
878281511006478336,6778,1077
878057613040115712,37149,5739
877736472329191424,69267,15803
877611172832227328,0,70
877556246731214848,19904,3168
877316821321428993,24153,4347
877201837425926144,23866,4629
876838120628539392,18208,2803
876537666061221889,21046,3972
876484053909872640,16563,1999
876120275196170240,24683,3902
875747767867523072,22107,3582
875144289856114688,19417,4155
875097192612077568,24242,5113
875021211251597312,22542,3972
874680097055178752,24600,3919
874434818259525634,0,12210
874296783580663808,22967,3482
874057562936811520,20115,3376
874012996292530176,30124,8589
873580283840344065,21379,3343
873337748698140672,0,1331
873213775632977920,6321,1331
872967104147763200,24069,4561
872820683541237760,13068,3166
872620804844003328,18324,3067
872486979161796608,36088,7718
872122724285648897,30228,6824
871879754684805121,33105,9248
871762521631449091,17886,2969
871515927908634625,17888,2940
871166179821445120,0,4892
871102520638267392,18540,4677
871032628920680449,20155,3222
870804317367881728,29802,5283
870726314365509632,105,3
870656317836468226,10888,2206
870374049280663552,73949,22748
870308999962521604,19477,3548
870063196459192321,32418,7075
869772420881756160,38014,8696
869702957897576449,25057,5385
869596645499047938,14204,2639
869227993411051520,18129,3200
868880397819494401,57964,12261
868639477480148993,0,1752
868622495443632128,23633,4470
868552278524837888,8969,1752
867900495410671616,21604,3571
867774946302451713,30273,6254
867421006826221569,14349,2115
867072653475098625,0,101
867051520902168576,28715,6787
866720684873056260,17870,4130
866686824827068416,17133,2972
866450705531457537,108882,30202
866334964761202691,46611,12210
866094527597207552,0,7169
865718153858494464,22930,4849
865359393868664832,23607,4290
865006731092295680,25043,6673
864873206498414592,28862,7499
864279568663928832,13073,2582
864197398364647424,26640,7587
863907417377173506,18435,3592
863553081350529029,13684,3634
863471782782697472,0,2092
863432100342583297,21312,4554
863427515083354112,1961,80
863079547188785154,7898,953
863062471531167744,7523,2092
862831371563274240,17213,4459
862722525377298433,15333,3091
862457590147678208,18284,4253
862096992088072192,66310,20009
861383897657036800,32302,9272
861288531465048066,15354,3591
861005113778896900,14996,3338
860981674716409858,0,1857
860924035999428608,0,678
860563773140209665,6723,1857
860524505164394496,21258,4604
860276583193509888,16591,3070
860184849394610176,15021,5124
860177593139703809,0,26755
859924526012018688,17642,3585
859851578198683649,13973,3069
859607811541651456,16839,1365
859196978902773760,80576,26277
859074603037188101,30447,11973
858860390427611136,0,7083
858843525470990336,14130,3027
858471635011153920,19496,4264
858107933456039936,14242,2540
857989990357356544,14499,2267
857746408056729600,30818,9352
857393404942143489,5309,1443
857263160327368704,18252,3979
857214891891077121,204,16
857062103051644929,0,148
857029823797047296,17052,3493
856543823941562368,14840,2548
856526610513747968,10830,1654
856288084350160898,488,15
856282028240666624,25245,5584
855862651834028034,303,21
855860136149123072,4408,853
855857698524602368,10861,1862
855851453814013952,41909,16136
855818117272018944,24284,4815
855459453768019968,27114,7307
855245323840757760,0,5266
855138241867124737,0,36
854732716440526848,20699,5355
854482394044301312,26598,6028
854365224396361728,17210,4154
854120357044912130,29214,6600
854010172552949760,14839,2793
853760880890318849,26102,5117
853639147608842240,31569,8888
853299958564483072,14176,3172
852936405516943360,0,1789
852912242202992640,8254,1601
852672615818899456,13652,1914
852553447878664193,14909,3121
852311364735569921,30384,8886
852226086759018497,18363,6100
852189679701164033,10574,1419
851591660324737024,14975,3127
851464819735769094,22278,6318
851224888060895234,19061,5176
850753642995093505,28178,8090
850380195714523136,12089,2334
850333567704068097,3193,301
850145622816686080,15061,3399
850019790995546112,18798,4375
849776966551130114,27927,6827
849668094696017920,0,4449
849412302885593088,14687,2835
849336543269576704,10563,1695
849051919805034497,39050,7635
848690551926992896,23291,3929
848324959059550208,22851,4156
848213670039564288,7546,646
848212111729840128,15048,2721
847978865427394560,0,2925
847971574464610304,0,396
847962785489326080,21756,4583
847842811428974592,5018,1192
847617282490613760,6473,376
847606175596138505,17374,3094
847251039262605312,18992,3924
847157206088847362,18392,5261
847116187444137987,19895,2878
846874817362120707,18645,3555
846514051647705089,41244,10397
846505985330044928,13091,2764
846153765933735936,29128,8185
846139713627017216,28846,9174
846042936437604353,14831,2592
845812042753855489,27062,7875
845677943972139009,23466,4387
845397057150107648,7094,1622
845306882940190720,21648,4868
845098359547420673,0,6950
844979544864018432,12690,2317
844973813909606400,13945,2860
844580511645339650,15307,2820
844223788422217728,12710,1994
843981021012017153,14137,2701
843856843873095681,19986,4173
843604394117681152,15728,2483
843235543001513987,19999,5423
842846295480000512,14228,3318
842765311967449089,6302,1177
842535590457499648,16937,3187
842163532590374912,22763,5266
842115215311396866,13051,2761
841833993020538882,0,13597
841680585030541313,24061,7167
841439858740625411,11752,3332
841320156043304961,18441,5026
841314665196081154,14763,4242
841077006473256960,21354,4892
840761248237133825,0,1622
840728873075638272,0,14610
840698636975636481,165,2
840696689258311684,11499,891
840632337062862849,8438,1622
840370681858686976,15349,4185
840268004936019968,17923,5223
839990271299457024,12546,2071
839549326359670784,25612,7083
839290600511926273,0,132
839239871831150596,25267,5948
838952994649550848,18398,3666
838921590096166913,10433,1858
838916489579200512,0,31
838831947270979586,0,10048
838561493054533637,10258,1234
838476387338051585,21001,4350
838201503651401729,0,9212
838150277551247360,1570,304
838085839343206401,133,1
838083903487373313,16488,2848
837820167694528512,31875,7169
837482249356513284,3614,408
837471256429613056,12005,2065
837110210464448512,15077,2182
836989968035819520,11967,2117
836753516572119041,18156,4270
836677758902222849,11865,2025
836648853927522308,0,508
836397794269200385,0,25125
836380477523124226,13924,2747
836260088725786625,19976,3984
836001077879255040,17920,3900
835685285446955009,0,7428
835574547218894849,16680,3304
835536468978302976,0,1546
835309094223372289,0,19195
835297930240217089,15450,2746
835264098648616962,7245,1546
835246439529840640,1992,63
835172783151792128,24604,5301
835152434251116546,20980,2763
834931633769889797,10121,1493
834786237630337024,20251,5113
834574053763584002,12827,2316
834477809192075265,0,9783
834458053273591808,9043,1549
834209720923721728,19275,4336
834167344700198914,14855,3367
834089966724603904,9464,1967
834086379323871233,12259,2042
833863086058651648,12644,2214
833826103416520705,17095,3492
833732339549220864,0,205
833722901757046785,19717,2999
833479644947025920,14030,1894
833124694597443584,19008,4449
832998151111966721,12451,2022
832769181346996225,0,38
832757312314028032,15866,3322
832682457690300417,11158,2667
832645525019123713,2743,485
832636094638288896,14920,2565
832397543355072512,11254,2038
832369877331693569,16099,2925
832273440279240704,10667,2149
832215909146226688,0,5732
832215726631055365,0,8598
832088576586297345,59,2
832040443403784192,0,8832
832032802820481025,16791,4306
831939777352105988,22495,5661
831926988323639298,319,34
831911600680497154,25873,5989
831670449226514432,9799,1690
831650051525054464,6688,1789
831552930092285952,8465,2163
